Local Government Area,Overseas acquired,Locally acquired—contact known,Locally acquired—no known contact,Interstate acquired,Under investigation,Total,Date
Balonne Shire,0,0,0,0,2,2,2021-12-31
Banana Shire,0,2,0,0,1,3,2021-12-31
Brisbane City,594,376,71,36,3483,4560,2021-12-31
Bundaberg Regional,18,6,3,0,169,196,2021-12-31
Burdekin Shire,0,0,0,0,1,1,2021-12-31
Cairns Regional,43,29,15,5,81,173,2021-12-31
Cassowary Coast Regional,3,1,1,2,1,8,2021-12-31
Central Highlands Regional,0,3,1,1,6,11,2021-12-31
Charters Towers Regional,2,1,0,0,0,3,2021-12-31
Cherbourg Aboriginal Shire,0,0,2,0,10,12,2021-12-31
Cook Shire,0,0,0,1,0,1,2021-12-31
Doomadgee Aboriginal Shire,0,1,0,0,1,2,2021-12-31
Douglas Shire,2,2,0,0,23,27,2021-12-31
Fraser Coast Regional,12,3,2,2,62,81,2021-12-31
Gladstone Regional,7,9,2,1,25,44,2021-12-31
Gold Coast City,192,228,207,45,1295,1967,2021-12-31
Goondiwindi Regional,2,8,0,2,4,16,2021-12-31
Gympie Regional,4,6,3,0,25,38,2021-12-31
Hinchinbrook Shire,1,0,0,0,5,6,2021-12-31
Interstate/Other,166,29,16,84,829,1124,2021-12-31
Ipswich City,32,69,21,2,468,592,2021-12-31
Isaac Regional,0,3,0,0,6,9,2021-12-31
Livingstone Shire,2,11,3,1,9,26,2021-12-31
Lockyer Valley Regional,2,8,1,0,35,46,2021-12-31
Logan City,47,37,12,12,852,960,2021-12-31
Longreach Regional,0,0,0,0,1,1,2021-12-31
Mackay Regional,22,9,3,1,45,80,2021-12-31
Maranoa Regional,0,1,0,1,3,5,2021-12-31
Mareeba Shire,3,10,0,2,10,25,2021-12-31
McKinlay Shire,0,0,0,0,1,1,2021-12-31
Moreton Bay Regional,119,33,13,4,480,649,2021-12-31
Mount Isa City,0,0,0,0,4,4,2021-12-31
Murweh Shire,0,0,0,1,1,2,2021-12-31
Noosa Shire,19,26,13,2,193,253,2021-12-31
North Burnett Regional,1,1,0,1,5,8,2021-12-31
Not Supplied,67,40,32,6,1108,1253,2021-12-31
Paroo Shire,0,1,0,0,2,3,2021-12-31
Redland City,28,14,5,2,258,307,2021-12-31
Rockhampton Regional,21,20,3,1,16,61,2021-12-31
Scenic Rim Regional,4,4,1,0,25,34,2021-12-31
Somerset Regional,3,2,1,1,8,15,2021-12-31
South Burnett Regional,2,1,0,1,14,18,2021-12-31
Southern Downs Regional,2,4,2,3,21,32,2021-12-31
Sunshine Coast Regional,82,58,25,18,350,533,2021-12-31
Tablelands Regional,5,1,0,0,6,12,2021-12-31
Toowoomba Regional,41,59,10,9,249,368,2021-12-31
Torres Shire,1,0,0,0,11,12,2021-12-31
Townsville City,31,10,5,4,79,129,2021-12-31
Weipa Town,0,0,0,0,1,1,2021-12-31
Western Downs Regional,3,3,1,1,15,23,2021-12-31
Whitsunday Regional,7,4,6,0,109,126,2021-12-31
Total,1590,1133,480,252,10408,13863,2021-12-31
