LGA,Total cases,Date
Southern Downs Regional,10,2021-12-24
Lockyer Valley Regional,11,2021-12-24
Livingstone Shire,6,2021-12-24
Ipswich City,119,2021-12-24
Interstate/Other,322,2021-12-24
Hinchinbrook Shire,1,2021-12-24
Gympie Regional,9,2021-12-24
Goondiwindi Regional,13,2021-12-24
Logan City,162,2021-12-24
Gold Coast City,496,2021-12-24
Douglas Shire,8,2021-12-24
Doomadgee Aboriginal Shire,1,2021-12-24
Charters Towers Regional,3,2021-12-24
Central Highlands Regional,3,2021-12-24
Cassowary Coast Regional,3,2021-12-24
Cairns Regional,68,2021-12-24
Bundaberg Regional,44,2021-12-24
Fraser Coast Regional,20,2021-12-24
Mackay Regional,28,2021-12-24
Maranoa Regional,2,2021-12-24
Mareeba Shire,9,2021-12-24
Whitsunday Regional,12,2021-12-24
Western Downs Regional,7,2021-12-24
Townsville City,45,2021-12-24
Torres Shire,1,2021-12-24
Toowoomba Regional,69,2021-12-24
Tablelands Regional,4,2021-12-24
Sunshine Coast Regional,150,2021-12-24
South Burnett Regional,3,2021-12-24
Somerset Regional,7,2021-12-24
Scenic Rim Regional,9,2021-12-24
Rockhampton Regional,23,2021-12-24
Redland City,66,2021-12-24
Paroo Shire,1,2021-12-24
Not Supplied,169,2021-12-24
North Burnett Regional,4,2021-12-24
Noosa Shire,54,2021-12-24
Moreton Bay Regional,189,2021-12-24
Brisbane City,1397,2021-12-24
Banana Shire,1,2021-12-24
Gladstone Regional,15,2021-12-24
Somerset Regional,8,2021-12-25
Brisbane City,1664,2021-12-25
Bundaberg Regional,71,2021-12-25
Cairns Regional,79,2021-12-25
Cassowary Coast Regional,4,2021-12-25
Central Highlands Regional,5,2021-12-25
Charters Towers Regional,3,2021-12-25
Cook Shire,1,2021-12-25
Doomadgee Aboriginal Shire,1,2021-12-25
Douglas Shire,10,2021-12-25
Fraser Coast Regional,20,2021-12-25
Gladstone Regional,16,2021-12-25
Gold Coast City,586,2021-12-25
Goondiwindi Regional,13,2021-12-25
Gympie Regional,11,2021-12-25
Hinchinbrook Shire,1,2021-12-25
Interstate/Other,380,2021-12-25
Ipswich City,132,2021-12-25
Isaac Regional,4,2021-12-25
Livingstone Shire,7,2021-12-25
Lockyer Valley Regional,11,2021-12-25
Logan City,212,2021-12-25
Mackay Regional,31,2021-12-25
Maranoa Regional,2,2021-12-25
Mareeba Shire,15,2021-12-25
Moreton Bay Regional,220,2021-12-25
Noosa Shire,90,2021-12-25
North Burnett Regional,5,2021-12-25
Not Supplied,235,2021-12-25
Paroo Shire,1,2021-12-25
Banana Shire,1,2021-12-25
Scenic Rim Regional,13,2021-12-25
Rockhampton Regional,23,2021-12-25
South Burnett Regional,4,2021-12-25
Whitsunday Regional,15,2021-12-25
Western Downs Regional,9,2021-12-25
Townsville City,52,2021-12-25
Torres Shire,1,2021-12-25
Toowoomba Regional,77,2021-12-25
Tablelands Regional,5,2021-12-25
Sunshine Coast Regional,192,2021-12-25
Southern Downs Regional,14,2021-12-25
Redland City,78,2021-12-25
Isaac Regional,4,2021-12-26
Redland City,78,2021-12-26
Rockhampton Regional,23,2021-12-26
Scenic Rim Regional,13,2021-12-26
Somerset Regional,8,2021-12-26
South Burnett Regional,4,2021-12-26
Townsville City,52,2021-12-26
Sunshine Coast Regional,192,2021-12-26
Toowoomba Regional,77,2021-12-26
Torres Shire,1,2021-12-26
Paroo Shire,1,2021-12-26
Western Downs Regional,9,2021-12-26
Southern Downs Regional,14,2021-12-26
Not Supplied,235,2021-12-26
North Burnett Regional,5,2021-12-26
Noosa Shire,90,2021-12-26
Ipswich City,132,2021-12-26
Interstate/Other,380,2021-12-26
Hinchinbrook Shire,1,2021-12-26
Gympie Regional,11,2021-12-26
Goondiwindi Regional,13,2021-12-26
Gold Coast City,586,2021-12-26
Gladstone Regional,16,2021-12-26
Whitsunday Regional,15,2021-12-26
